epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.106,2.94229,2.56411,2.5872,0.79359,0.7002,0.78281,0.42315,3.41533,2.83364,3.68757,0.0670464,0.000332865,0.000332865
2,547.426,2.81732,1.88386,2.53292,0.8683,0.82728,0.90609,0.55694,2.54512,1.57802,2.71522,0.0340398,0.000659602,0.000659602
3,812.698,2.75585,1.72293,2.50506,0.8718,0.8789,0.93218,0.58005,2.44004,1.43986,2.6318,0.00102662,0.00097974,0.00097974
4,1104.02,2.69024,1.58675,2.47709,0.888,0.88976,0.9429,0.6211,2.28633,1.24778,2.52887,0.0009703,0.0009703,0.0009703
5,1368.66,2.64072,1.49046,2.44339,0.90932,0.8941,0.95326,0.6193,2.34495,1.23264,2.567,0.0009604,0.0009604,0.0009604
6,1631.86,2.59919,1.4355,2.42326,0.92031,0.90267,0.96342,0.62763,2.37567,1.12943,2.60551,0.0009505,0.0009505,0.0009505
7,1895.99,2.55271,1.37055,2.39652,0.92613,0.91317,0.96621,0.6537,2.25602,1.0455,2.50858,0.0009406,0.0009406,0.0009406
8,2158.41,2.51695,1.33687,2.3851,0.91799,0.91814,0.96503,0.65594,2.18028,1.02791,2.43504,0.0009307,0.0009307,0.0009307
9,2421.45,2.48746,1.30399,2.37728,0.92551,0.92265,0.97098,0.66261,2.16452,0.97285,2.41627,0.0009208,0.0009208,0.0009208
10,2686.42,2.47367,1.27194,2.3564,0.92733,0.92527,0.96995,0.66375,2.15639,0.96744,2.41472,0.0009109,0.0009109,0.0009109
11,2950.09,2.46108,1.26177,2.36013,0.9356,0.92894,0.97317,0.68016,2.06331,0.90054,2.3376,0.000901,0.000901,0.000901
12,3214.27,2.43342,1.23318,2.34253,0.92951,0.94182,0.97707,0.67039,2.054,0.89275,2.33275,0.0008911,0.0008911,0.0008911
13,3475.19,2.41571,1.21217,2.34176,0.93292,0.93249,0.97507,0.67644,2.11843,0.89604,2.38081,0.0008812,0.0008812,0.0008812
