epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.56,4.42554,4.99278,4.3539,0.00081,0.05752,0.00045,0.00014,9.43624,256.643,14.5442,0.0700422,0.00332865,0.00332865
2,547.788,4.10675,4.13546,4.0139,0.04769,0.07101,0.01724,0.00538,7.30365,inf,12.097,0.0399756,0.00659537,0.00659537
3,811.6,4.05596,4.06278,3.97304,0.02997,0.08455,0.00817,0.00194,7.79537,112.753,12.2613,0.00984231,0.00979543,0.00979543
4,1075.35,4.00077,3.84758,3.91162,0.00361,0.05665,0.00214,0.00057,8.0457,11.272,8.28442,0.00970003,0.00970003,0.00970003
5,1338.2,3.9453,3.66457,3.83125,0.00196,0.08275,0.00136,0.00043,6.87247,6.70499,7.02472,0.00960004,0.00960004,0.00960004
6,1597.62,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00950005,0.00950005,0.00950005
7,1857.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00940006,0.00940006,0.00940006
8,2122.5,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00930007,0.00930007,0.00930007
9,2379.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00920008,0.00920008,0.00920008
10,2634.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00910009,0.00910009,0.00910009
11,2889.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0090001,0.0090001,0.0090001
12,3144.57,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00890011,0.00890011,0.00890011
13,3400.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00880012,0.00880012,0.00880012
14,3654.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00870013,0.00870013,0.00870013
15,3904.32,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00860014,0.00860014,0.00860014
16,4161.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00850015,0.00850015,0.00850015
17,4419.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00840016,0.00840016,0.00840016
18,4682.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00830017,0.00830017,0.00830017
19,4941.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00820018,0.00820018,0.00820018
20,5198.51,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00810019,0.00810019,0.00810019
21,5456.83,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0080002,0.0080002,0.0080002
22,5716.26,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00790021,0.00790021,0.00790021
