epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.348,2.9464,3.97831,2.62733,0.74971,0.72157,0.80518,0.51133,2.36695,1.91371,2.53307,0.0701685,0.00331461,0.00331461
2,497.978,2.68609,2.05304,2.4352,0.82486,0.7987,0.88006,0.54092,2.56717,1.71896,2.70016,0.0401669,0.00664632,0.00664632
3,742.654,2.72246,1.85521,2.45841,0.7506,0.69896,0.7598,0.4284,2.86897,2.51605,3.05171,0.0101588,0.00997152,0.00997152
4,983.752,2.746,1.75153,2.47616,0.8608,0.82356,0.9033,0.53831,2.64852,1.68952,2.82139,0.00997803,0.00997803,0.00997803
5,1227.02,2.66915,1.58763,2.42833,0.87914,0.85586,0.9264,0.57028,2.45904,1.4107,2.63359,0.00996097,0.00996097,0.00996097
6,1472.7,2.62645,1.49774,2.41144,0.89287,0.875,0.93904,0.58978,2.49433,1.34748,2.62929,0.00993906,0.00993906,0.00993906
7,1718.07,2.5655,1.41992,2.38377,0.87976,0.82765,0.90798,0.59223,2.37671,1.52706,2.57176,0.00991232,0.00991232,0.00991232
8,1961.21,2.53478,1.36046,2.37787,0.89638,0.88108,0.94263,0.60504,2.43371,1.32547,2.67779,0.00988079,0.00988079,0.00988079
9,2201.5,2.49996,1.32079,2.36918,0.92233,0.90544,0.96542,0.64955,2.19134,1.03717,2.45475,0.00984449,0.00984449,0.00984449
10,2442.3,2.49209,1.29026,2.35448,0.9234,0.91582,0.96661,0.64477,2.22893,1.05786,2.48182,0.00980345,0.00980345,0.00980345
11,2681.4,2.46991,1.26564,2.35224,0.92213,0.92447,0.96956,0.66107,2.12462,0.95756,2.37991,0.00975773,0.00975773,0.00975773
12,2919.53,2.43927,1.22992,2.33384,0.91421,0.91052,0.96325,0.62053,2.30547,1.11042,2.51049,0.00970736,0.00970736,0.00970736
13,3155.65,2.42191,1.20519,2.32486,0.92903,0.90673,0.9672,0.64248,2.28533,1.06939,2.51202,0.00965239,0.00965239,0.00965239
14,3390.75,2.40414,1.19579,2.32403,0.93314,0.93109,0.97406,0.66015,2.19608,0.93388,2.44515,0.00959289,0.00959289,0.00959289
15,3631.22,2.39586,1.17293,2.31393,0.93335,0.93803,0.97774,0.66185,2.20721,0.9281,2.44887,0.00952889,0.00952889,0.00952889
16,3868.82,2.37755,1.15596,2.29817,0.93265,0.93351,0.97519,0.66774,2.09633,0.87888,2.38184,0.00946048,0.00946048,0.00946048
17,4107.29,2.36359,1.14017,2.29093,0.935,0.92913,0.97393,0.67526,2.03633,0.8821,2.31828,0.00938772,0.00938772,0.00938772
18,4345.53,2.35551,1.13585,2.28558,0.94295,0.92673,0.97501,0.67798,2.0689,0.89885,2.3407,0.00931067,0.00931067,0.00931067
19,4583.53,2.33447,1.12948,2.28269,0.93145,0.94614,0.978,0.69302,1.97193,0.81803,2.27821,0.00922942,0.00922942,0.00922942
20,4820.21,2.33368,1.10873,2.28063,0.94149,0.95261,0.98167,0.69208,2.00337,0.78862,2.28095,0.00914405,0.00914405,0.00914405
21,5057.63,2.32542,1.09696,2.27644,0.94937,0.93791,0.98021,0.69278,1.96204,0.83242,2.26157,0.00905463,0.00905463,0.00905463
22,5293.92,2.30949,1.08415,2.26545,0.93708,0.95232,0.98084,0.69295,1.92619,0.76989,2.22237,0.00896127,0.00896127,0.00896127
23,5529.05,2.29089,1.0742,2.25663,0.94493,0.95456,0.98355,0.70329,1.93633,0.73581,2.22317,0.00886404,0.00886404,0.00886404
24,5765.61,2.29231,1.07028,2.25734,0.94858,0.95894,0.98435,0.71309,1.89222,0.72093,2.20134,0.00876305,0.00876305,0.00876305
25,5999.35,2.27857,1.05524,2.24651,0.95036,0.95421,0.98349,0.70703,1.90597,0.72302,2.18886,0.00865839,0.00865839,0.00865839
26,6231.74,2.27972,1.05167,2.24788,0.95287,0.95528,0.98352,0.71053,1.87681,0.7124,2.18444,0.00855018,0.00855018,0.00855018
27,6467.67,2.26481,1.03813,2.23617,0.94708,0.95749,0.98377,0.71489,1.86743,0.71928,2.16551,0.00843851,0.00843851,0.00843851
28,6704.3,2.26529,1.03633,2.23531,0.95583,0.95456,0.9839,0.71413,1.87797,0.69298,2.16808,0.00832349,0.00832349,0.00832349
29,6942.02,2.25673,1.02794,2.23677,0.95225,0.95953,0.98483,0.71499,1.86351,0.69636,2.16175,0.00820525,0.00820525,0.00820525
30,7180.14,2.24943,1.01846,2.24104,0.95367,0.96056,0.9854,0.72065,1.85768,0.67414,2.16003,0.00808389,0.00808389,0.00808389
31,7418.61,2.23755,1.0122,2.22305,0.9573,0.96264,0.98498,0.72781,1.82297,0.66113,2.13676,0.00795954,0.00795954,0.00795954
32,7656.87,2.22342,1.00151,2.22139,0.95774,0.96162,0.98592,0.72767,1.80185,0.65537,2.1308,0.00783231,0.00783231,0.00783231
33,7897.15,2.22015,0.99411,2.21732,0.95653,0.96231,0.98533,0.72776,1.7871,0.65163,2.12137,0.00770234,0.00770234,0.00770234
34,8136.01,2.20489,0.98866,2.21004,0.95898,0.9626,0.98591,0.72459,1.81138,0.65734,2.12722,0.00756976,0.00756976,0.00756976
35,8374.13,2.19473,0.97879,2.2078,0.96139,0.96407,0.9857,0.72955,1.77793,0.63869,2.10735,0.00743468,0.00743468,0.00743468
36,8608.85,2.19335,0.9782,2.20507,0.95705,0.96496,0.98645,0.72916,1.78414,0.63917,2.10577,0.00729725,0.00729725,0.00729725
