epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,235.839,2.1604,0.95825,2.21527,0.96272,0.96974,0.98696,0.73965,1.75476,0.61729,2.11778,0.000911,0.000911,0.000911
57,476.259,2.17278,0.96334,2.22385,0.96361,0.96974,0.98669,0.74081,1.74947,0.61398,2.11214,0.0008912,0.0008912,0.0008912
58,705.391,2.16016,0.96187,2.22286,0.96275,0.96821,0.98678,0.74157,1.74708,0.61075,2.11043,0.0008714,0.0008714,0.0008714
59,933.964,2.17513,0.95791,2.22871,0.96345,0.97048,0.98668,0.74127,1.73567,0.60629,2.10533,0.0008516,0.0008516,0.0008516
60,1162.28,2.15881,0.95601,2.21651,0.96293,0.97166,0.98697,0.74157,1.73074,0.60356,2.09958,0.0008318,0.0008318,0.0008318
61,1392.31,2.15034,0.9537,2.21529,0.96275,0.97219,0.98743,0.74353,1.72533,0.60226,2.09614,0.000812,0.000812,0.000812
62,1623.46,2.14837,0.93565,2.21642,0.96342,0.97076,0.98792,0.74564,1.72057,0.59888,2.0937,0.0007922,0.0007922,0.0007922
63,1853.93,2.14603,0.93922,2.21495,0.96457,0.97113,0.98741,0.74466,1.71698,0.59763,2.09138,0.0007724,0.0007724,0.0007724
64,2084,2.13358,0.93751,2.19519,0.96341,0.97335,0.98693,0.74485,1.7144,0.5949,2.08564,0.0007526,0.0007526,0.0007526
65,2314.18,2.13405,0.93032,2.2052,0.96333,0.97298,0.98759,0.74637,1.71331,0.59327,2.08636,0.0007328,0.0007328,0.0007328
66,2543.96,2.13726,0.93161,2.21335,0.9645,0.97353,0.98731,0.74544,1.7099,0.5911,2.08451,0.000713,0.000713,0.000713
67,2774.91,2.12429,0.92036,2.2075,0.96592,0.97109,0.98791,0.74705,1.70539,0.5897,2.08249,0.0006932,0.0006932,0.0006932
68,3006.29,2.11976,0.91843,2.19698,0.96222,0.97499,0.98784,0.74715,1.70494,0.58663,2.08241,0.0006734,0.0006734,0.0006734
69,3236.05,2.1117,0.91037,2.19468,0.96449,0.972,0.98808,0.74753,1.70138,0.58641,2.07813,0.0006536,0.0006536,0.0006536
70,3467.25,2.10916,0.90439,2.18415,0.96525,0.97215,0.98785,0.74836,1.70004,0.58318,2.07551,0.0006338,0.0006338,0.0006338
71,3695.89,2.1049,0.90203,2.18177,0.96794,0.97087,0.98793,0.74875,1.69801,0.58243,2.07365,0.000614,0.000614,0.000614
72,3924.02,2.08899,0.8959,2.18107,0.96612,0.9723,0.98738,0.74861,1.69623,0.58144,2.07197,0.0005942,0.0005942,0.0005942
73,4152.15,2.08751,0.89342,2.17693,0.96254,0.9759,0.98786,0.74972,1.6912,0.58012,2.06989,0.0005744,0.0005744,0.0005744
74,4381.35,2.08741,0.89301,2.17992,0.96386,0.97682,0.98836,0.751,1.68746,0.57777,2.06829,0.0005546,0.0005546,0.0005546
75,4609.27,2.06295,0.87652,2.17185,0.96245,0.97727,0.98766,0.75131,1.68447,0.57682,2.06677,0.0005348,0.0005348,0.0005348
76,4838.2,2.08028,0.88727,2.1738,0.96539,0.97601,0.98773,0.75151,1.68294,0.57362,2.06462,0.000515,0.000515,0.000515
77,5067.5,2.06447,0.87423,2.1648,0.96784,0.97433,0.98729,0.75154,1.67968,0.57342,2.06181,0.0004952,0.0004952,0.0004952
78,5296.69,2.06212,0.86846,2.17117,0.96685,0.97609,0.9873,0.75142,1.67722,0.57294,2.06027,0.0004754,0.0004754,0.0004754
79,5525.05,2.05229,0.86707,2.16344,0.96605,0.97495,0.98784,0.75237,1.67449,0.56972,2.05898,0.0004556,0.0004556,0.0004556
80,5754,2.04147,0.8642,2.1642,0.96727,0.97405,0.98818,0.7529,1.67183,0.56905,2.05771,0.0004358,0.0004358,0.0004358
81,5984.26,2.04629,0.86514,2.16142,0.96916,0.97389,0.98833,0.75356,1.67015,0.56721,2.05588,0.000416,0.000416,0.000416
82,6214.1,2.04391,0.86245,2.16159,0.96782,0.97368,0.98833,0.75355,1.66843,0.56682,2.0552,0.0003962,0.0003962,0.0003962
83,6441.76,2.02112,0.84636,2.15053,0.96741,0.97565,0.98794,0.75397,1.66677,0.56564,2.05375,0.0003764,0.0003764,0.0003764
84,6672.64,2.02067,0.84699,2.15104,0.96738,0.97558,0.98807,0.75412,1.66505,0.56534,2.05222,0.0003566,0.0003566,0.0003566
85,6907.69,2.0254,0.84817,2.15952,0.96656,0.97696,0.98832,0.75435,1.6637,0.56366,2.05164,0.0003368,0.0003368,0.0003368
86,7139.37,2.01062,0.83884,2.14628,0.96754,0.97581,0.98802,0.75457,1.66233,0.56347,2.05061,0.000317,0.000317,0.000317
87,7368.21,2.00881,0.8397,2.14789,0.96857,0.975,0.98793,0.75504,1.66122,0.56229,2.04996,0.0002972,0.0002972,0.0002972
88,7598.91,1.9983,0.83607,2.13953,0.96835,0.97558,0.98801,0.75529,1.65995,0.56244,2.04865,0.0002774,0.0002774,0.0002774
89,7828.91,2.00324,0.83032,2.14206,0.96968,0.97397,0.98784,0.75523,1.65913,0.56097,2.04827,0.0002576,0.0002576,0.0002576
90,8059.71,1.98867,0.82511,2.1326,0.96926,0.97397,0.98821,0.75555,1.65764,0.56043,2.04694,0.0002378,0.0002378,0.0002378
91,8282.99,1.99819,0.70444,2.17351,0.96837,0.97528,0.98831,0.75601,1.65647,0.55793,2.04598,0.000218,0.000218,0.000218
92,8502.16,1.97537,0.68892,2.16108,0.9688,0.97448,0.98868,0.7567,1.65433,0.55714,2.04401,0.0001982,0.0001982,0.0001982
93,8720.45,1.96196,0.68018,2.16099,0.96955,0.97513,0.98868,0.75723,1.65262,0.55529,2.04274,0.0001784,0.0001784,0.0001784
94,8939.09,1.95443,0.67269,2.15049,0.97057,0.97339,0.98874,0.7575,1.65102,0.55523,2.04166,0.0001586,0.0001586,0.0001586
95,9157.9,1.94712,0.67235,2.14513,0.96976,0.97441,0.98845,0.75769,1.64982,0.55512,2.04054,0.0001388,0.0001388,0.0001388
96,9379.61,1.9409,0.67045,2.1481,0.96833,0.97652,0.9885,0.75833,1.64854,0.55364,2.0396,0.000119,0.000119,0.000119
97,9600.44,1.93575,0.66237,2.14561,0.96969,0.97441,0.98862,0.75856,1.64778,0.55277,2.0392,9.92e-05,9.92e-05,9.92e-05
98,9819.98,1.93035,0.66141,2.13682,0.96932,0.97448,0.98851,0.7586,1.64631,0.55337,2.0382,7.94e-05,7.94e-05,7.94e-05
99,10041.5,1.92222,0.6544,2.13084,0.96754,0.97586,0.98837,0.75866,1.64512,0.55437,2.03717,5.96e-05,5.96e-05,5.96e-05
100,10262.2,1.91133,0.6522,2.12953,0.96993,0.97345,0.98839,0.75919,1.6443,0.55451,2.03637,3.98e-05,3.98e-05,3.98e-05
