epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.728,2.93852,2.75409,2.53472,0.67265,0.52931,0.62226,0.36718,2.94659,3.17692,3.03158,0.0669265,0.000166199,0.000166199
2,479.443,2.6945,1.80405,2.41383,0.84841,0.82218,0.89981,0.55011,2.6169,1.5703,2.75395,0.0337565,0.00032957,0.00032957
3,708.586,2.61875,1.60057,2.38109,0.85733,0.84493,0.91418,0.56502,2.51328,1.51395,2.67191,0.000583274,0.000489641,0.000489641
4,937.959,2.58485,1.50264,2.37428,0.8928,0.87518,0.9399,0.61503,2.33123,1.2217,2.49365,0.00048515,0.00048515,0.00048515
5,1167.11,2.52722,1.40525,2.34739,0.90581,0.89745,0.95615,0.64501,2.2404,1.11263,2.44967,0.0004802,0.0004802,0.0004802
6,1396.37,2.49172,1.35576,2.32902,0.90967,0.9104,0.96091,0.65259,2.20081,1.0444,2.3876,0.00047525,0.00047525,0.00047525
7,1625.37,2.45278,1.28761,2.3032,0.91603,0.91645,0.96672,0.64232,2.24669,0.99881,2.41488,0.0004703,0.0004703,0.0004703
8,1854.59,2.4324,1.25382,2.29986,0.92404,0.92064,0.96933,0.65663,2.16151,0.9623,2.34887,0.00046535,0.00046535,0.00046535
9,2082.29,2.40216,1.22379,2.27591,0.91988,0.92155,0.96917,0.65971,2.11882,0.95054,2.32292,0.0004604,0.0004604,0.0004604
10,2312.21,2.38427,1.19758,2.27568,0.92899,0.92517,0.97268,0.66214,2.0973,0.91351,2.30902,0.00045545,0.00045545,0.00045545
11,2540.39,2.37294,1.18416,2.26527,0.92543,0.93556,0.97317,0.6598,2.10918,0.89863,2.3073,0.0004505,0.0004505,0.0004505
12,2769.72,2.35607,1.16129,2.26004,0.93797,0.93153,0.97535,0.66266,2.21111,0.93757,2.40891,0.00044555,0.00044555,0.00044555
13,3002.07,2.33207,1.13899,2.24288,0.93367,0.93271,0.97619,0.68967,1.99784,0.82841,2.25117,0.0004406,0.0004406,0.0004406
14,3235.24,2.32387,1.12165,2.24499,0.94555,0.93774,0.98007,0.6929,2.00089,0.80277,2.25246,0.00043565,0.00043565,0.00043565
15,3468.45,2.31502,1.09842,2.24063,0.9388,0.95232,0.98021,0.69363,2.00222,0.79487,2.24859,0.0004307,0.0004307,0.0004307
16,3702.46,2.29763,1.09355,2.22518,0.94273,0.94918,0.98076,0.70545,1.93123,0.76214,2.18344,0.00042575,0.00042575,0.00042575
17,3934.16,2.27788,1.07435,2.21983,0.94753,0.94404,0.98073,0.70268,1.94384,0.75763,2.18665,0.0004208,0.0004208,0.0004208
18,4164.44,2.26394,1.06761,2.21026,0.95051,0.94792,0.98251,0.71269,1.88954,0.72679,2.16268,0.00041585,0.00041585,0.00041585
19,4396.5,2.25672,1.06094,2.20391,0.93473,0.95319,0.98061,0.70665,1.91036,0.74621,2.17574,0.0004109,0.0004109,0.0004109
20,4626.08,2.2374,1.03398,2.20171,0.94262,0.95531,0.98255,0.71079,1.88331,0.72854,2.16166,0.00040595,0.00040595,0.00040595
21,4858.96,2.24514,1.03987,2.20739,0.94644,0.95946,0.98262,0.71167,1.89153,0.72242,2.17159,0.000401,0.000401,0.000401
22,5090.05,2.23057,1.02231,2.20037,0.94943,0.95378,0.98394,0.70597,1.91737,0.72218,2.18077,0.00039605,0.00039605,0.00039605
23,5319.33,2.22298,1.01418,2.20337,0.95216,0.95926,0.98449,0.7184,1.86265,0.69329,2.13927,0.0003911,0.0003911,0.0003911
24,5550.65,2.20746,1.00771,2.1866,0.95096,0.9586,0.98444,0.71961,1.83245,0.68928,2.11375,0.00038615,0.00038615,0.00038615
25,5780.01,2.19445,0.99892,2.19079,0.95397,0.95954,0.98484,0.71482,1.84386,0.68511,2.13089,0.0003812,0.0003812,0.0003812
26,6009.97,2.20087,0.99984,2.1853,0.95549,0.95647,0.98455,0.72294,1.82829,0.68116,2.11441,0.00037625,0.00037625,0.00037625
27,6241.78,2.18869,0.98778,2.17597,0.95307,0.96005,0.98527,0.72308,1.80699,0.66651,2.10613,0.0003713,0.0003713,0.0003713
28,6474.52,2.17061,0.97418,2.17093,0.95442,0.96174,0.9849,0.7277,1.80155,0.65855,2.0979,0.00036635,0.00036635,0.00036635
29,6709.55,2.16715,0.97481,2.16736,0.95547,0.96406,0.98457,0.72765,1.79952,0.65822,2.08904,0.0003614,0.0003614,0.0003614
30,6944.69,2.16882,0.97256,2.17049,0.95856,0.95778,0.98546,0.72583,1.81018,0.6577,2.09884,0.00035645,0.00035645,0.00035645
31,7176.89,2.15882,0.96163,2.15815,0.95705,0.95853,0.98518,0.72981,1.77998,0.64561,2.07054,0.0003515,0.0003515,0.0003515
32,7410.2,2.1577,0.96525,2.16791,0.95333,0.96656,0.98574,0.73677,1.76025,0.6397,2.07226,0.00034655,0.00034655,0.00034655
33,7642.13,2.14472,0.94988,2.16031,0.95757,0.96424,0.986,0.7326,1.76345,0.63389,2.0756,0.0003416,0.0003416,0.0003416
34,7876.96,2.14719,0.94925,2.15916,0.95197,0.96815,0.98624,0.7298,1.75769,0.63916,2.07516,0.00033665,0.00033665,0.00033665
35,8110.89,2.1366,0.94819,2.15812,0.9581,0.96624,0.98565,0.73241,1.76197,0.64027,2.07823,0.0003317,0.0003317,0.0003317
36,8343.4,2.12843,0.93415,2.15401,0.95889,0.96544,0.98653,0.73509,1.74654,0.62102,2.06177,0.00032675,0.00032675,0.00032675
37,8576.8,2.11556,0.92816,2.14974,0.95755,0.96701,0.98668,0.73914,1.72113,0.6101,2.04483,0.0003218,0.0003218,0.0003218
38,8809.09,2.11385,0.92777,2.14545,0.95929,0.96945,0.98742,0.73989,1.72994,0.61062,2.04922,0.00031685,0.00031685,0.00031685
39,9044.37,2.11466,0.92053,2.14588,0.95551,0.97186,0.9871,0.73726,1.73033,0.61121,2.04888,0.0003119,0.0003119,0.0003119
40,9279.53,2.10176,0.91576,2.14311,0.95701,0.97049,0.98715,0.74364,1.71066,0.60323,2.03456,0.00030695,0.00030695,0.00030695
41,9512.84,2.09564,0.91182,2.14126,0.96282,0.97055,0.98687,0.74353,1.71455,0.59795,2.0411,0.000302,0.000302,0.000302
42,9743.75,2.08126,0.90515,2.12942,0.9619,0.96991,0.98716,0.74464,1.70353,0.59533,2.03971,0.00029705,0.00029705,0.00029705
43,9974.31,2.09014,0.90269,2.14067,0.9561,0.97491,0.98705,0.74278,1.69934,0.59321,2.03718,0.0002921,0.0002921,0.0002921
44,10208.8,2.07455,0.89882,2.13403,0.96099,0.97158,0.98729,0.74462,1.68842,0.5864,2.02541,0.00028715,0.00028715,0.00028715
45,10439.8,2.07433,0.89226,2.13444,0.9627,0.97208,0.98749,0.74653,1.68575,0.58767,2.02362,0.0002822,0.0002822,0.0002822
46,10672.9,2.06386,0.88578,2.12778,0.96335,0.96974,0.98744,0.74912,1.68518,0.58296,2.02707,0.00027725,0.00027725,0.00027725
47,10905.7,2.07357,0.88864,2.13764,0.96228,0.97276,0.98765,0.746,1.68491,0.58389,2.02688,0.0002723,0.0002723,0.0002723
48,11139.7,2.06431,0.88645,2.12693,0.96143,0.97339,0.98779,0.74891,1.68368,0.57662,2.02523,0.00026735,0.00026735,0.00026735
49,11372.2,2.05225,0.8806,2.11939,0.96115,0.97543,0.98753,0.74743,1.67422,0.57624,2.01967,0.0002624,0.0002624,0.0002624
50,11606.7,2.05145,0.87551,2.12153,0.96444,0.972,0.98746,0.74943,1.67257,0.57351,2.02026,0.00025745,0.00025745,0.00025745
51,11839.9,2.04427,0.86716,2.11817,0.9623,0.97434,0.98726,0.75018,1.66971,0.56984,2.01805,0.0002525,0.0002525,0.0002525
52,12074.8,2.04285,0.86339,2.11742,0.9641,0.9731,0.98795,0.75223,1.66238,0.56931,2.00873,0.00024755,0.00024755,0.00024755
53,12308.9,2.03274,0.86056,2.10793,0.96126,0.97762,0.98791,0.75185,1.66146,0.5681,2.00708,0.0002426,0.0002426,0.0002426
54,12540.1,2.02748,0.86597,2.11099,0.96201,0.97669,0.98776,0.75213,1.6559,0.5668,2.00237,0.00023765,0.00023765,0.00023765
55,12772.2,2.02409,0.85691,2.1156,0.9622,0.97601,0.98781,0.7523,1.65967,0.56784,2.00875,0.0002327,0.0002327,0.0002327
56,13003,2.02145,0.85459,2.11396,0.96293,0.97543,0.9875,0.7524,1.65528,0.565,2.00627,0.00022775,0.00022775,0.00022775
57,13235.4,2.01723,0.84529,2.10345,0.96266,0.97703,0.98785,0.75411,1.64254,0.56246,1.99519,0.0002228,0.0002228,0.0002228
58,13469,2.01548,0.84493,2.1005,0.96769,0.97528,0.98831,0.75389,1.64382,0.55658,1.99319,0.00021785,0.00021785,0.00021785
59,13702.7,2.00371,0.84863,2.09979,0.96463,0.97822,0.98811,0.75436,1.64213,0.55423,1.99403,0.0002129,0.0002129,0.0002129
60,13936,2.00699,0.83696,2.09452,0.96281,0.97781,0.98778,0.75489,1.63783,0.55325,1.99044,0.00020795,0.00020795,0.00020795
61,14168.3,2.00309,0.83681,2.09615,0.96687,0.97448,0.98779,0.75504,1.63822,0.554,1.99173,0.000203,0.000203,0.000203
62,14403.2,1.99245,0.83294,2.09822,0.96422,0.97661,0.98761,0.75423,1.63772,0.55649,1.99318,0.00019805,0.00019805,0.00019805
63,14636.1,1.99512,0.832,2.09898,0.96933,0.97247,0.988,0.75597,1.63499,0.55299,1.99018,0.0001931,0.0001931,0.0001931
64,14872.3,1.98298,0.83675,2.09626,0.96498,0.97645,0.98794,0.75622,1.63234,0.55103,1.98938,0.00018815,0.00018815,0.00018815
65,15103.5,1.99162,0.83567,2.09413,0.96667,0.97685,0.9885,0.75836,1.62701,0.54556,1.98721,0.0001832,0.0001832,0.0001832
66,15349.3,1.98219,0.8302,2.08841,0.96546,0.97807,0.98871,0.75809,1.62525,0.54379,1.98742,0.00017825,0.00017825,0.00017825
67,15602.3,1.97578,0.8201,2.08691,0.96574,0.97812,0.98842,0.75816,1.62591,0.54297,1.98743,0.0001733,0.0001733,0.0001733
