epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.287,4.75983,5.90498,4.31091,0.02686,0.19773,0.01417,0.00507,6.23169,inf,12.3176,0.0701685,0.00331461,0.00331461
2,506.913,4.23861,4.74796,3.87087,0.00392,0.22929,0.01063,0.00264,6.95794,11.1559,7.44537,0.0401669,0.0066463,0.0066463
3,749.722,4.10088,4.24561,3.76856,0.00792,0.03791,0.00061,0.00064,9.73135,inf,48.1052,0.0101587,0.00997144,0.00997144
4,992.703,3.97521,3.89512,3.64012,0,0,0,0,10.4406,30.717,13.413,0.00997783,0.00997783,0.00997783
5,1236.47,3.87853,3.64619,3.54234,0.00165,0.01108,0.00019,5e-05,9.14736,inf,11.5832,0.00996061,0.00996061,0.00996061
6,1487.58,3.83019,3.53298,3.51631,0.02816,0.07014,0.01233,0.00422,5.28767,inf,9.67974,0.0099385,0.0099385,0.0099385
7,1741.78,3.80778,3.42414,3.4955,0.01812,0.01225,0.00077,0.0002,9.32576,54.8402,38.697,0.00991152,0.00991152,0.00991152
8,1999.89,3.73975,3.28996,3.45191,0.008,0.10484,0.005,0.00217,5.641,19.6288,9.05044,0.0098797,0.0098797,0.0098797
9,2259.38,3.74345,3.27932,3.46423,0.0058,0.05869,0.00187,0.00057,8.63266,116.429,21.8081,0.00984307,0.00984307,0.00984307
10,2510.16,3.74134,3.23067,3.44371,0.01099,0.0654,0.00211,0.00058,7.27274,inf,9.7969,0.00980167,0.00980167,0.00980167
11,2765.07,3.71155,3.14886,3.43528,0,0,0,0,10.2583,inf,24.3731,0.00975553,0.00975553,0.00975553
12,3020.27,3.71141,3.13797,3.43152,0.029,0.02428,0.0022,0.00041,7.3249,17.7603,7.05993,0.0097047,0.0097047,0.0097047
13,3281.15,3.71295,3.13999,3.43103,0.01297,0.46836,0.00948,0.00314,5.83356,inf,7.45167,0.00964923,0.00964923,0.00964923
14,3520.89,3.69939,3.1299,3.43142,0.0036,0.02165,0.00195,0.00051,7.86911,10.1654,31.6348,0.00958918,0.00958918,0.00958918
15,3760.54,3.66971,3.07964,3.39745,0,0,0,0,nan,nan,nan,0.00952461,0.00952461,0.00952461
16,4023.77,3.67188,3.07323,3.37608,0.24102,0.17892,0.09541,0.03145,6.78046,inf,8.38779,0.00945558,0.00945558,0.00945558
17,4299.2,3.67264,3.06095,3.38365,0.00012,0.00875,0.0001,2e-05,8.69202,inf,10.1529,0.00938215,0.00938215,0.00938215
18,4567.01,3.65778,3.01535,3.36563,0.07321,0.04593,0.0103,0.002,7.75408,23.0941,9.82251,0.00930441,0.00930441,0.00930441
19,4825.01,3.64264,3.00956,3.36625,0.0113,0.00102,0.00103,0.00023,9.11038,11.672,10.0712,0.00922242,0.00922242,0.00922242
20,5099.45,3.65701,2.98873,3.3606,0.02101,0.0939,0.01029,0.00332,6.11452,inf,6.78181,0.00913627,0.00913627,0.00913627
21,5342.91,3.64755,2.95536,3.35252,0.00202,0.00736,0.00102,0.00019,9.72091,inf,9.68216,0.00904604,0.00904604,0.00904604
