epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.132,2.84228,3.30358,2.59256,0.7951,0.79416,0.85637,0.54446,2.36981,1.69888,2.56742,0.0700422,0.00332865,0.00332865
2,543.678,2.72034,1.95295,2.488,0.84219,0.83122,0.90063,0.54184,2.54195,1.64381,2.74592,0.0399762,0.00659602,0.00659602
3,816.369,2.80291,1.8971,2.54562,0.87543,0.83108,0.91335,0.55502,2.53082,1.71289,2.75698,0.00984429,0.0097974,0.0097974
4,1084.46,2.82726,1.81903,2.57535,0.86091,0.84115,0.91727,0.5716,2.51042,1.62359,2.75676,0.009703,0.009703,0.009703
5,1350.27,2.73097,1.65541,2.51607,0.89094,0.87759,0.94137,0.6155,2.35276,1.26805,2.67411,0.009604,0.009604,0.009604
6,1617.76,2.6653,1.53938,2.48544,0.90098,0.90153,0.95147,0.63283,2.25406,1.19822,2.53911,0.009505,0.009505,0.009505
7,1882.94,2.61405,1.45159,2.45426,0.9111,0.91069,0.96078,0.64507,2.23496,1.0892,2.51569,0.009406,0.009406,0.009406
8,2149.63,2.5711,1.38752,2.43535,0.91504,0.91273,0.96324,0.64352,2.22744,1.04726,2.48278,0.009307,0.009307,0.009307
9,2417.19,2.53515,1.3384,2.41076,0.93201,0.91805,0.96942,0.65987,2.14025,0.99025,2.3966,0.009208,0.009208,0.009208
10,2681.1,2.50811,1.30225,2.38924,0.92416,0.93465,0.97091,0.65981,2.13825,0.96503,2.42658,0.009109,0.009109,0.009109
11,2947.96,2.49166,1.29667,2.38544,0.93462,0.92544,0.97247,0.66473,2.12279,0.91085,2.38087,0.00901,0.00901,0.00901
12,3211.94,2.46287,1.26005,2.37025,0.93422,0.93103,0.97411,0.67381,2.07054,0.89826,2.36634,0.008911,0.008911,0.008911
13,3478.47,2.43848,1.23411,2.35208,0.93044,0.92877,0.97255,0.68405,2.07486,0.89865,2.35106,0.008812,0.008812,0.008812
14,3744.76,2.43539,1.21107,2.35143,0.93223,0.93992,0.97694,0.67789,2.04704,0.85955,2.33082,0.008713,0.008713,0.008713
15,4015.89,2.4019,1.18514,2.3303,0.94064,0.94159,0.97905,0.69304,1.99315,0.81839,2.30228,0.008614,0.008614,0.008614
16,4281.94,2.39715,1.16626,2.32207,0.94413,0.94517,0.97926,0.68358,2.0313,0.84062,2.31147,0.008515,0.008515,0.008515
17,4545.08,2.37549,1.15945,2.31618,0.94322,0.94751,0.98138,0.69559,1.99231,0.78233,2.28797,0.008416,0.008416,0.008416
18,4811.48,2.37068,1.14007,2.31285,0.94051,0.94984,0.98148,0.70174,1.9424,0.78237,2.27938,0.008317,0.008317,0.008317
19,5077.02,2.3565,1.12193,2.30687,0.94151,0.95166,0.98173,0.69659,1.97162,0.78942,2.27064,0.008218,0.008218,0.008218
20,5338.73,2.33418,1.11133,2.29483,0.9489,0.9494,0.9829,0.70056,1.96159,0.76637,2.2582,0.008119,0.008119,0.008119
21,5601.6,2.33274,1.10635,2.2976,0.94336,0.95932,0.98308,0.71281,1.91218,0.72602,2.22496,0.00802,0.00802,0.00802
22,5866.43,2.31979,1.08811,2.2868,0.94933,0.95756,0.98346,0.70924,1.9328,0.73812,2.23897,0.007921,0.007921,0.007921
23,6128.59,2.31047,1.08057,2.28183,0.95368,0.95472,0.98394,0.71462,1.90484,0.71632,2.21221,0.007822,0.007822,0.007822
24,6393.15,2.29914,1.08035,2.26633,0.95053,0.95538,0.98401,0.70895,1.90713,0.71567,2.20793,0.007723,0.007723,0.007723
25,6655.3,2.2948,1.0699,2.2723,0.95534,0.95449,0.98405,0.70575,1.92228,0.72527,2.20856,0.007624,0.007624,0.007624
26,6918.82,2.29257,1.06958,2.27313,0.94975,0.95932,0.98461,0.71581,1.88257,0.70618,2.19956,0.007525,0.007525,0.007525
27,7181.32,2.27179,1.05181,2.25515,0.95414,0.95573,0.98547,0.71717,1.85495,0.68507,2.17261,0.007426,0.007426,0.007426
28,7444.05,2.25975,1.04242,2.24932,0.95518,0.96282,0.98548,0.72148,1.84992,0.67301,2.1675,0.007327,0.007327,0.007327
29,7710.56,2.26197,1.03632,2.24369,0.95663,0.96165,0.98555,0.71823,1.85743,0.68592,2.17703,0.007228,0.007228,0.007228
30,7979.45,2.24614,1.0286,2.24701,0.95489,0.96573,0.98533,0.72299,1.83484,0.6726,2.15716,0.007129,0.007129,0.007129
31,8245.74,2.23714,1.01569,2.24087,0.95552,0.96428,0.98538,0.72532,1.81341,0.6634,2.13507,0.00703,0.00703,0.00703
32,8515.06,2.23504,1.01941,2.25136,0.95534,0.96857,0.98621,0.72591,1.81839,0.65536,2.1457,0.006931,0.006931,0.006931
33,8779.94,2.23092,1.00931,2.23503,0.95545,0.96629,0.98576,0.73028,1.80184,0.64181,2.1247,0.006832,0.006832,0.006832
34,9046.49,2.2225,1.00203,2.22642,0.95611,0.96712,0.98626,0.73312,1.78203,0.64118,2.1088,0.006733,0.006733,0.006733
35,9314.56,2.2083,0.99065,2.2181,0.95424,0.9684,0.9866,0.72996,1.78906,0.64326,2.11341,0.006634,0.006634,0.006634
36,9581.4,2.20829,0.98419,2.22176,0.95761,0.96848,0.98598,0.73056,1.79551,0.65362,2.12717,0.006535,0.006535,0.006535
37,9849.87,2.20602,0.98561,2.2234,0.95667,0.97055,0.98664,0.73046,1.78752,0.63385,2.12022,0.006436,0.006436,0.006436
38,10116.4,2.2003,0.9826,2.22158,0.95815,0.96975,0.98726,0.73393,1.77441,0.62813,2.11252,0.006337,0.006337,0.006337
39,10384.2,2.19587,0.9706,2.21431,0.95927,0.96792,0.98626,0.73683,1.75855,0.6221,2.09774,0.006238,0.006238,0.006238
40,10650.9,2.18293,0.96944,2.21407,0.95442,0.96941,0.98641,0.73378,1.76035,0.62395,2.09031,0.006139,0.006139,0.006139
41,10915.1,2.17994,0.96857,2.20735,0.95694,0.97059,0.98669,0.73607,1.75122,0.62331,2.08753,0.00604,0.00604,0.00604
42,11179.9,2.17152,0.96476,2.20187,0.95924,0.96887,0.98673,0.73841,1.73433,0.61019,2.07099,0.005941,0.005941,0.005941
43,11445.8,2.15717,0.95953,2.19351,0.9551,0.97238,0.98668,0.7388,1.73194,0.60808,2.06985,0.005842,0.005842,0.005842
44,11710.6,2.16511,0.95302,2.20178,0.95962,0.97251,0.98767,0.73894,1.74041,0.60514,2.07828,0.005743,0.005743,0.005743
45,11977.6,2.15607,0.95098,2.19547,0.96614,0.9669,0.98718,0.74155,1.71929,0.59562,2.06393,0.005644,0.005644,0.005644
46,12244.2,2.15508,0.94536,2.19122,0.95912,0.97003,0.98704,0.74063,1.72121,0.60124,2.06437,0.005545,0.005545,0.005545
47,12513.7,2.14935,0.93285,2.19408,0.9618,0.97462,0.98767,0.74241,1.71575,0.59168,2.06416,0.005446,0.005446,0.005446
48,12778.4,2.14094,0.92987,2.18765,0.95971,0.97596,0.9871,0.74419,1.70862,0.5869,2.05577,0.005347,0.005347,0.005347
49,13044.1,2.1286,0.9241,2.18657,0.96192,0.97339,0.98734,0.74361,1.70966,0.58772,2.06009,0.005248,0.005248,0.005248
50,13309.5,2.1409,0.92781,2.19342,0.96154,0.9755,0.9876,0.74369,1.70009,0.58628,2.05727,0.005149,0.005149,0.005149
