Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,F1 Score,Accuracy
Adam_A1,0.9012124537948247,0.8548347004722844,0.9243564813951995,0.6801644654131632,0.8774106520138278,0.7594953573085222
Adam_A2,0.8857238241435288,0.858563261247825,0.9287106147770015,0.683314285702027,0.8719315821628699,0.7483536590071546
Adam_A3,0.9153604553396902,0.8717375093214019,0.9363861101805189,0.6859555979725365,0.8930160659798166,0.7893836430467941
Adam_A4,0.8687728243117976,0.7974148645289585,0.8927199543856157,0.6244097216269667,0.8315653186759133,0.6748315126199026
SGD_S1,0.930971681043982,0.8744717872234651,0.9434639937863603,0.6962827717924459,0.9018371753723392,0.8071140184745118
SGD_S2,0.923073808506672,0.8600546855580412,0.9325823853351054,0.6895079517942777,0.8904501403455081,0.7854375718769099
SGD_S3,0.9213722637168732,0.8767501110069438,0.937411975857547,0.6959295105096553,0.8985070166462452,0.8000591731793945
SGD_S4,0.9127448876541875,0.8772060651255282,0.9338494168950544,0.6930011417981842,0.8946221714154667,0.7921768605536242
RSMProp_R1,0.01093367547864124,0.046482724335073326,0.003307232470663476,0.0009096765794218405,0.01770289232503482,0.00026155570960173605
RSMProp_R2,0.38155162067899834,0.28784857823477544,0.24186497127302148,0.11219105295758161,0.3281413051361183,0.07624743980820523
RSMProp_R3,0.0010850970265589266,0.10937111608252548,0.0005445463156051826,0.00012713102115480417,0.00214885509985439,6.280391987273475e-05
RSMProp_R4,0.11826502252221029,0.16206810837683322,0.054207073920057885,0.021675939981844458,0.13674388078147212,0.011022891796580607
